[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Tag[ route_check ] --START--
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Run CheckRoute Behavior [ RunTime:0.000039s ]
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Tag[ route_check ] --END-- [ RunTime:0.000116s ]
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Tag[ app_begin ] --START--
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000029s ]
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000043s ]
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Tag[ view_template ] --START--
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000139s ]
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.000265s ]
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | INFO: Tag[ view_parse ] --START--
[ 2016-10-10T13:32:58+08:00 ] /marchsoft.cn/admin.php/Index/left | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
