[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ route_check ] --START--
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Run CheckRoute Behavior [ RunTime:0.000063s ]
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000193s ]
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ app_begin ] --START--
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000071s ]
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000102s ]
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8] Undefined index: out IndexAction.class.php 第 16 行.
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_template ] --START--
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Run LocationTemplate Behavior [ RunTime:0.000051s ]
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_template ] --END-- [ RunTime:0.000086s ]
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | INFO: Tag[ view_parse ] --START--
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T12:55:40+08:00 ] /marchsoft.cn/admin.php/Index/admin_top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
