[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Tag[ route_check ] --START--
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000043s ]
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000098s ]
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000031s ]
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000046s ]
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_template ] --START--
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000027s ]
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000044s ]
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-12T11:01:47+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
