[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Tag[ route_check ] --START--
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Run CheckRoute Behavior [ RunTime:0.000062s ]
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000156s ]
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Tag[ app_begin ] --START--
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000077s ]
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000121s ]
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | SQL: SHOW COLUMNS FROM `march_prize_don` [ RunTime:0.000523s ]
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | SQL: SELECT * FROM `march_prize_don` WHERE don_id=14  [ RunTime:0.000073s ]
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Tag[ view_template ] --START--
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Run LocationTemplate Behavior [ RunTime:0.000085s ]
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000118s ]
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | INFO: Tag[ view_parse ] --START--
[ 2016-10-10T22:30:12+08:00 ] /marchsoft.cn/admin.php/Don/edit/id/14 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
