[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000442s ]
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000530s ]
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | INFO: Tag[ view_template ] --START--
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000225s ]
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000252s ]
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | INFO: Tag[ view_parse ] --START--
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-30T20:25:26+08:00 ] /marchsoft.cn/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
