[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Tag[ route_check ] --START--
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Run CheckRoute Behavior [ RunTime:0.000034s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000093s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Tag[ app_begin ] --START--
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000027s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000040s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | SQL: SHOW COLUMNS FROM `march_march_jottings` [ RunTime:0.000289s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | SQL: select us.Num,us.Jtitle,us.id,us.Title,us.Img,us.Jcontent,us.Jtime,er.user_name FROM march_jottings us
					left join march_user er on  er.user_phone = us.user_phone where us.State = 1 
					order by Jtime desc limit 6 [ RunTime:0.000111s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | SQL: select us.Jtime FROM march_jottings us  where State = 1 order by Jtime desc limit 1 [ RunTime:0.000027s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | SQL: select left(Jtime,4) str FROM march_jottings where State = 1  group by left(Jtime,4) order by left(Jtime,4) DESC; [ RunTime:0.000021s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | SQL: select count(*) FROM march_jottings where State = 1 [ RunTime:0.000020s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Tag[ view_template ] --START--
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000033s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000048s ]
[ 2016-10-07T18:47:42+08:00 ] /index.php/Grow/index | INFO: Tag[ view_parse ] --START--
